Age_Group,Gender,Run_Time,Run_Points,HAMR_Shuttles,HAMR_Points,Pushups,Pushup_Points,HandReleasePushups,HandReleasePushup_Points,Situps,Situp_Points,CrossLegCrunch,CrossLegCrunch_Points,Plank_Time,Plank_Points
<25,Male,13:25,50.0,100,50.0,,,,,,,,,,
<25,Male,13:55,49.4,94,49.4,,,,,,,,,,
<25,Male,14:12,48.8,92,48.8,,,,,,,,,,
<25,Male,14:27,48.1,88,48.1,,,,,,,,,,
<25,Male,14:41,47.5,86,47.5,,,,,,,,,,
<25,Male,15:05,46.9,83,46.9,,,,,,,,,,
<25,Male,15:17,46.3,80,46.3,,,,,,,,,,
<25,Male,15:28,45.6,77,45.6,,,,,,,,,,
<25,Male,15:38,45.0,74,45.0,,,,,,,,,,
<25,Male,16:09,43.9,71,43.9,,,,,,,,,,
<25,Male,16:29,42.9,68,42.9,,,,,,,,,,
<25,Male,16:49,41.8,65,41.8,,,,,,,,,,
<25,Male,17:08,40.7,62,40.7,,,,,,,,,,
<25,Male,17:18,39.6,59,39.6,,,,,,,,,,
<25,Male,17:37,38.6,56,38.6,,,,,,,,,,
<25,Male,17:55,37.5,54,37.5,,,,,,,,,,
<25,Male,18:23,35.5,51,35.5,,,,,,,,,,
<25,Male,18:39,34.0,48,34.0,,,,,,,,,,
<25,Male,19:07,32.5,45,32.5,,,,,,,,,,
<25,Male,19:36,31.0,42,31.0,,,,,,,,,,
<25,Male,,,,,67,15.0,40,15.0,58,15.0,49,15.0,3:35,15.0
<25,Male,,,,,66,14.9,39,14.7,57,14.8,48,14.7,3:30,14.8
<25,Male,,,,,65,14.7,38,14.4,56,14.6,47,14.5,3:25,14.5
<25,Male,,,,,64,14.6,37,14.1,55,14.3,46,14.2,3:18,14.2
<25,Male,,,,,63,14.4,36,13.8,54,14.1,45,14.0,3:12,13.9
<25,Male,,,,,62,14.3,35,13.5,53,13.8,44,13.7,3:05,13.5
<25,Male,,,,,61,14.1,34,13.2,52,13.5,43,13.5,2:45,12.6
<25,Male,,,,,60,14.0,33,12.9,51,13.2,42,13.2,2:25,11.5
<25,Male,,,,,59,13.8,32,12.6,50,13.1,41,12.9,2:05,10.5
<25,Male,,,,,58,13.7,31,12.3,49,12.8,40,12.6,1:55,10.0
<25,Male,,,,,57,13.5,30,12.0,48,12.5,39,12.3,1:25,8.5
<25,Male,,,,,56,13.4,29,11.7,47,12.0,38,12.1,1:05,7.5
<25,Male,,,,,55,13.2,28,11.4,46,11.3,37,11.8,,
<25,Male,,,,,54,13.1,27,11.1,45,10.5,36,11.6,,
<25,Male,,,,,53,12.9,26,10.8,44,9.8,35,11.3,,
<25,Male,,,,,52,12.8,25,10.5,43,9.5,34,11.0,,
<25,Male,,,,,51,12.6,24,10.2,42,9.0,33,10.8,,
<25,Male,,,,,50,12.5,23,9.9,41,6.8,32,10.5,,
<25,Male,,,,,49,12.3,22,9.6,40,4.5,31,10.2,,
<25,Male,,,,,48,12.2,21,9.3,39,2.3,30,9.9,,
<25,Male,,,,,47,12.0,20,9.0,29,9.7,,,,
<25,Male,,,,,46,11.7,19,8.7,28,9.4,,,,
<25,Male,,,,,45,11.6,18,8.4,27,9.1,,,,
<25,Male,,,,,44,11.3,17,8.1,26,8.9,,,,
<25,Male,,,,,43,11.0,16,7.8,25,8.6,,,,
<25,Male,,,,,42,10.8,15,7.5,24,8.4,,,,
<25,Male,,,,,41,10.5,23,8.1,,,,,,
<25,Male,,,,,40,10.2,22,7.8,,,,,,
<25,Male,,,,,39,9.8,21,7.5,,,,,,
<25,Male,,,,,38,9.5,,,,,,,,
<25,Male,,,,,37,9.0,,,,,,,,
<25,Male,,,,,36,8.7,,,,,,,,
<25,Male,,,,,35,8.3,,,,,,,,
<25,Male,,,,,34,8.0,,,,,,,,
<25,Male,,,,,33,7.5,,,,,,,,
<25,Male,,,,,32,5.3,,,,,,,,
<25,Male,,,,,31,3.0,,,,,,,,
<25,Male,,,,,30,0.8,,,,,,,,
25-29,Male,13:25,50.0,97,50.0,,,,,,,,,,
25-29,Male,13:55,49.4,92,49.4,,,,,,,,,,
25-29,Male,14:12,48.8,88,48.8,,,,,,,,,,
25-29,Male,14:27,48.1,86,48.1,,,,,,,,,,
25-29,Male,14:41,47.5,83,47.5,,,,,,,,,,
25-29,Male,15:05,46.9,80,46.9,,,,,,,,,,
25-29,Male,15:17,46.3,77,46.3,,,,,,,,,,
